Rank,Model,R2,RMSE,MAE,Train_R2,Fit_seconds
1,5. Polynomial (deg 2) + Linear,0.9889886481405485,2.020060173893751,1.6115229438315084,0.9887046501591211,0.028
2,1. Linear Regression,0.9889832909573145,2.0205515085050028,1.6111213463123026,0.9886898790682355,0.031
3,2. Ridge Regression,0.9889817103276002,2.020696453297199,1.61122225609473,0.9886898633604801,0.021
4,3. Lasso Regression,0.9889693545249262,2.0218291304991904,1.6117182208520844,0.9886877035200944,0.016
5,4. ElasticNet Regression,0.9888860413275621,2.029450089025257,1.617387131255477,0.9886606251754774,0.018
6,8. Gradient Boosting Regressor,0.9884112951689122,2.0723420383996536,1.6431967544579686,0.9891037210560236,1.018
7,7. Random Forest Regressor,0.9861751036813338,2.263470964236322,1.80971462512025,0.9974980411971224,0.66
8,9. Support Vector Regressor,0.9859243822338378,2.2839033347856152,1.7927646848433236,0.9861708396615138,2.396
9,6. Decision Tree Regressor,0.9839007259865192,2.442570639265433,1.9514003544952363,0.9859667993145701,0.028
10,10. K-Nearest Neighbors Regressor,0.9768984245983586,2.9259357477566046,2.3603,0.984024635611489,0.028
