,Model,scoring,folds,CV_mean,CV_std
0,1. Linear Regression,r2,5,0.9886614186306701,0.0002834962772064987
1,2. Ridge Regression,r2,5,0.9886613978217239,0.0002822969886421774
2,3. Lasso Regression,r2,5,0.9886594006971341,0.00027513297817904333
3,4. ElasticNet Regression,r2,5,0.9886323287980845,0.00024296031696449427
4,5. Polynomial (deg 2) + Linear,r2,5,0.9886176173163775,0.0002891034323863139
5,6. Decision Tree Regressor,r2,5,0.9825334042189819,0.0005973544328781037
6,7. Random Forest Regressor,r2,5,0.9851025435778645,0.0003072414485347496
7,8. Gradient Boosting Regressor,r2,5,0.9879466356123572,0.000323657865540924
8,9. Support Vector Regressor,r2,5,0.9849437884565561,0.0005632817397254209
9,10. K-Nearest Neighbors Regressor,r2,5,0.9739657912745766,0.0012479484110852295
